Times,Availability,ResourceName
2024-06-02 23:00:00,7.0,DSU_401400
2024-06-02 23:30:00,7.05,DSU_401400
2024-06-03 00:00:00,7.183,DSU_401400
2024-06-03 00:30:00,7.0,DSU_401400
2024-06-03 01:00:00,7.0,DSU_401400
2024-06-03 01:30:00,7.0,DSU_401400
2024-06-03 02:00:00,7.0,DSU_401400
2024-06-03 02:30:00,7.0,DSU_401400
2024-06-03 03:00:00,7.0,DSU_401400
2024-06-03 03:30:00,7.0,DSU_401400
2024-06-03 04:00:00,7.0,DSU_401400
2024-06-03 04:30:00,7.0,DSU_401400
2024-06-03 05:00:00,7.0,DSU_401400
2024-06-03 05:30:00,7.883,DSU_401400
2024-06-03 06:00:00,8.0,DSU_401400
2024-06-03 06:30:00,8.0,DSU_401400
2024-06-03 07:00:00,8.0,DSU_401400
2024-06-03 07:30:00,8.0,DSU_401400
2024-06-03 08:00:00,8.0,DSU_401400
2024-06-03 08:30:00,8.0,DSU_401400
2024-06-03 09:00:00,8.0,DSU_401400
2024-06-03 09:30:00,7.017,DSU_401400
2024-06-03 10:00:00,7.0,DSU_401400
2024-06-03 10:30:00,7.0,DSU_401400
2024-06-03 11:00:00,7.0,DSU_401400
2024-06-03 11:30:00,7.0,DSU_401400
2024-06-03 12:00:00,7.0,DSU_401400
2024-06-03 12:30:00,7.0,DSU_401400
2024-06-03 13:00:00,6.95,DSU_401400
2024-06-03 13:30:00,6.0,DSU_401400
2024-06-03 14:00:00,6.05,DSU_401400
2024-06-03 14:30:00,7.0,DSU_401400
2024-06-03 15:00:00,7.0,DSU_401400
2024-06-03 15:30:00,7.0,DSU_401400
2024-06-03 16:00:00,7.0,DSU_401400
2024-06-03 16:30:00,7.0,DSU_401400
2024-06-03 17:00:00,7.0,DSU_401400
2024-06-03 17:30:00,7.0,DSU_401400
2024-06-03 18:00:00,7.0,DSU_401400
2024-06-03 18:30:00,7.0,DSU_401400
2024-06-03 19:00:00,6.283,DSU_401400
2024-06-03 19:30:00,6.0,DSU_401400
2024-06-03 20:00:00,6.0,DSU_401400
2024-06-03 20:30:00,6.0,DSU_401400
2024-06-03 21:00:00,6.0,DSU_401400
2024-06-03 21:30:00,6.0,DSU_401400
2024-06-03 22:00:00,7.433,DSU_401400
2024-06-03 22:30:00,8.0,DSU_401400
2024-06-02 23:00:00,6.0,DSU_401870
2024-06-02 23:30:00,6.0,DSU_401870
2024-06-03 00:00:00,6.0,DSU_401870
2024-06-03 00:30:00,6.0,DSU_401870
2024-06-03 01:00:00,6.0,DSU_401870
2024-06-03 01:30:00,6.0,DSU_401870
2024-06-03 02:00:00,6.0,DSU_401870
2024-06-03 02:30:00,6.0,DSU_401870
2024-06-03 03:00:00,6.0,DSU_401870
2024-06-03 03:30:00,6.0,DSU_401870
2024-06-03 04:00:00,6.0,DSU_401870
2024-06-03 04:30:00,6.0,DSU_401870
2024-06-03 05:00:00,6.0,DSU_401870
2024-06-03 05:30:00,6.0,DSU_401870
2024-06-03 06:00:00,6.0,DSU_401870
2024-06-03 06:30:00,6.0,DSU_401870
2024-06-03 07:00:00,6.0,DSU_401870
2024-06-03 07:30:00,6.0,DSU_401870
2024-06-03 08:00:00,6.0,DSU_401870
2024-06-03 08:30:00,6.033,DSU_401870
2024-06-03 09:00:00,8.0,DSU_401870
2024-06-03 09:30:00,8.0,DSU_401870
2024-06-03 10:00:00,8.0,DSU_401870
2024-06-03 10:30:00,8.0,DSU_401870
2024-06-03 11:00:00,7.983,DSU_401870
2024-06-03 11:30:00,7.0,DSU_401870
2024-06-03 12:00:00,7.65,DSU_401870
2024-06-03 12:30:00,8.0,DSU_401870
2024-06-03 13:00:00,7.15,DSU_401870
2024-06-03 13:30:00,7.0,DSU_401870
2024-06-03 14:00:00,7.0,DSU_401870
2024-06-03 14:30:00,7.0,DSU_401870
2024-06-03 15:00:00,7.0,DSU_401870
2024-06-03 15:30:00,6.983,DSU_401870
2024-06-03 16:00:00,6.0,DSU_401870
2024-06-03 16:30:00,6.0,DSU_401870
2024-06-03 17:00:00,6.0,DSU_401870
2024-06-03 17:30:00,6.0,DSU_401870
2024-06-03 18:00:00,6.0,DSU_401870
2024-06-03 18:30:00,6.0,DSU_401870
2024-06-03 19:00:00,6.0,DSU_401870
2024-06-03 19:30:00,6.0,DSU_401870
2024-06-03 20:00:00,6.0,DSU_401870
2024-06-03 20:30:00,6.0,DSU_401870
2024-06-03 21:00:00,6.0,DSU_401870
2024-06-03 21:30:00,6.0,DSU_401870
2024-06-03 22:00:00,6.0,DSU_401870
2024-06-03 22:30:00,6.0,DSU_401870
2024-06-02 23:00:00,5.0,DSU_402090
2024-06-02 23:30:00,5.0,DSU_402090
2024-06-03 00:00:00,5.05,DSU_402090
2024-06-03 00:30:00,6.0,DSU_402090
2024-06-03 01:00:00,6.0,DSU_402090
2024-06-03 01:30:00,6.0,DSU_402090
2024-06-03 02:00:00,6.0,DSU_402090
2024-06-03 02:30:00,6.0,DSU_402090
2024-06-03 03:00:00,6.0,DSU_402090
2024-06-03 03:30:00,6.0,DSU_402090
2024-06-03 04:00:00,6.0,DSU_402090
2024-06-03 04:30:00,6.0,DSU_402090
2024-06-03 05:00:00,6.0,DSU_402090
2024-06-03 05:30:00,6.0,DSU_402090
2024-06-03 06:00:00,6.0,DSU_402090
2024-06-03 06:30:00,6.0,DSU_402090
2024-06-03 07:00:00,6.0,DSU_402090
2024-06-03 07:30:00,6.0,DSU_402090
2024-06-03 08:00:00,6.0,DSU_402090
2024-06-03 08:30:00,6.0,DSU_402090
2024-06-03 09:00:00,6.0,DSU_402090
2024-06-03 09:30:00,6.0,DSU_402090
2024-06-03 10:00:00,6.0,DSU_402090
2024-06-03 10:30:00,6.0,DSU_402090
2024-06-03 11:00:00,6.0,DSU_402090
2024-06-03 11:30:00,6.0,DSU_402090
2024-06-03 12:00:00,6.0,DSU_402090
2024-06-03 12:30:00,6.0,DSU_402090
2024-06-03 13:00:00,6.0,DSU_402090
2024-06-03 13:30:00,6.0,DSU_402090
2024-06-03 14:00:00,6.0,DSU_402090
2024-06-03 14:30:00,6.0,DSU_402090
2024-06-03 15:00:00,6.0,DSU_402090
2024-06-03 15:30:00,6.0,DSU_402090
2024-06-03 16:00:00,6.0,DSU_402090
2024-06-03 16:30:00,6.0,DSU_402090
2024-06-03 17:00:00,6.0,DSU_402090
2024-06-03 17:30:00,6.0,DSU_402090
2024-06-03 18:00:00,6.0,DSU_402090
2024-06-03 18:30:00,6.0,DSU_402090
2024-06-03 19:00:00,6.0,DSU_402090
2024-06-03 19:30:00,6.0,DSU_402090
2024-06-03 20:00:00,6.0,DSU_402090
2024-06-03 20:30:00,6.0,DSU_402090
2024-06-03 21:00:00,6.0,DSU_402090
2024-06-03 21:30:00,6.0,DSU_402090
2024-06-03 22:00:00,6.0,DSU_402090
2024-06-03 22:30:00,6.0,DSU_402090
2024-06-02 23:00:00,1.0,DSU_402100
2024-06-02 23:30:00,1.0,DSU_402100
2024-06-03 00:00:00,1.0,DSU_402100
2024-06-03 00:30:00,1.0,DSU_402100
2024-06-03 01:00:00,1.0,DSU_402100
2024-06-03 01:30:00,1.0,DSU_402100
2024-06-03 02:00:00,1.0,DSU_402100
2024-06-03 02:30:00,1.0,DSU_402100
2024-06-03 03:00:00,1.0,DSU_402100
2024-06-03 03:30:00,1.0,DSU_402100
2024-06-03 04:00:00,1.0,DSU_402100
2024-06-03 04:30:00,1.0,DSU_402100
2024-06-03 05:00:00,1.0,DSU_402100
2024-06-03 05:30:00,1.0,DSU_402100
2024-06-03 06:00:00,1.0,DSU_402100
2024-06-03 06:30:00,1.0,DSU_402100
2024-06-03 07:00:00,1.0,DSU_402100
2024-06-03 07:30:00,1.0,DSU_402100
2024-06-03 08:00:00,1.0,DSU_402100
2024-06-03 08:30:00,1.0,DSU_402100
2024-06-03 09:00:00,1.0,DSU_402100
2024-06-03 09:30:00,1.0,DSU_402100
2024-06-03 10:00:00,1.0,DSU_402100
2024-06-03 10:30:00,1.0,DSU_402100
2024-06-03 11:00:00,1.0,DSU_402100
2024-06-03 11:30:00,1.0,DSU_402100
2024-06-03 12:00:00,1.0,DSU_402100
2024-06-03 12:30:00,1.0,DSU_402100
2024-06-03 13:00:00,1.0,DSU_402100
2024-06-03 13:30:00,1.0,DSU_402100
2024-06-03 14:00:00,1.0,DSU_402100
2024-06-03 14:30:00,1.0,DSU_402100
2024-06-03 15:00:00,1.0,DSU_402100
2024-06-03 15:30:00,1.0,DSU_402100
2024-06-03 16:00:00,1.0,DSU_402100
2024-06-03 16:30:00,1.0,DSU_402100
2024-06-03 17:00:00,1.0,DSU_402100
2024-06-03 17:30:00,1.0,DSU_402100
2024-06-03 18:00:00,1.0,DSU_402100
